num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2023S000057;02/01/2023;7:50:00;CALL. GOYA / CALL. LOMBIA;86;4;SALAMANCA;Colisión fronto-lateral;Nublado;Bicicleta;Conductor;De 55 a 59 años;Hombre;NULL;NULL;442943680;4475109106;N;NULL
2023S000123;03/01/2023;13:20:00;AVDA. ENTREVIAS, 100;100;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 55 a 59 años;Hombre;1;Atención en urgencias sin posterior ingreso;443717786;4469886737;N;NULL
2023S000136;03/01/2023;15:45:00;PASEO. CASTELLANA / MIGUEL AN;51;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;3;Ingreso superior a 24 horas;441406026;4476550072;N;NULL
2023S000163;03/01/2023;22:26:00;PASEO. SANTA MARIA DE LA CABEZA / PALOS DE LA FRONTERA;39;2;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;De 21 a 24 años;Mujer;NULL;NULL;440825321;4472731828;N;NULL
2023S000181;04/01/2023;11:05:00;CALL. IBIZA, 39;39;3;RETIRO;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;2;Ingreso inferior o igual a 24 horas;442860171;4474395995;N;NULL
2023S000184;04/01/2023;11:40:00;CALL. SANTA ENGRACIA / MANUEL CO;27;7;CHAMBERÍ;Colisión fronto-lateral;NULL;Bicicleta;Conductor;De 35 a 39 años;Mujer;NULL;NULL;440878387;4475815277;N;NULL
2023S000228;04/01/2023;20:30:00;CALL. GENERAL RICARDOS / SAN PATRICI;1;11;CARABANCHEL;Colisión frontal;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;438402856;4471546926;N;NULL
2023S000281;05/01/2023;17:20:00;CALL. MAYOR / TRVA. BRINGAS;1;1;CENTRO;Alcance;Despejado;Bicicleta;Conductor;De 55 a 59 años;Mujer;NULL;NULL;439860883;4474154133;N;NULL
2023S000332;06/01/2023;11:07:00;CALL. OLIVAR / CALL. SAN CARLOS;25;1;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;1;Atención en urgencias sin posterior ingreso;440470211;4473544699;N;NULL
2023S000401;06/01/2023;11:25:00;CALL. FERNANDO PESSOA, 5;5;15;CIUDAD LINEAL;Alcance;Nublado;Bicicleta;Conductor;De 30 a 34 años;Hombre;NULL;NULL;444596048;4476837751;N;NULL
2023S000537;08/01/2023;20:14:00;AVDA. MANZANARES, 210;210;12;USERA;Atropello a persona;Lluvia débil;Bicicleta;Conductor;De 18 a 20 años;Hombre;NULL;NULL;440542114;4471411503;N;NULL
2023S000537;08/01/2023;20:14:00;AVDA. MANZANARES, 210;210;12;USERA;Atropello a persona;Lluvia débil;Bicicleta;Peatón;De 25 a 29 años;Mujer;NULL;NULL;440542114;4471411503;N;NULL
2023S000557;08/01/2023;20:23:00;CALL. ALCALA, 321;321;15;CIUDAD LINEAL;Alcance;Lluvia débil;Bicicleta;Conductor;De 21 a 24 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;444812993;4475993670;N;NULL
2023S000570;09/01/2023;12:50:00;PASEO. YESERIAS, 33;33;2;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Conductor;De 65 a 69 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439913780;4472188793;N;NULL
2023S000570;09/01/2023;12:50:00;PASEO. YESERIAS, 33;33;2;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Peatón;De 45 a 49 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439913780;4472188793;N;NULL
2023S000572;09/01/2023;13:15:00;CALL. MALMOE / CALLE HERMANOS GARCIA NOBLEJAS;83;15;CIUDAD LINEAL;Colisión frontal;Despejado;Bicicleta;Conductor;De 60 a 64 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;447258619;4473974478;N;NULL
2023S000578;09/01/2023;15:15:00;AVDA. MENENDEZ PELAYO, 89;89;3;RETIRO;Alcance;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;442467304;4473323459;N;NULL
2023S000650;10/01/2023;9:55:00;CALL. O'DONNELL, 44;44;3;RETIRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;442870237;4474739968;N;NULL
2023S000766;12/01/2023;7:05:00;AVDA. HELLIN / CALL. HINOJAL;7;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;NULL;Bicicleta;Conductor;De 35 a 39 años;Hombre;NULL;NULL;447754195;4475843355;N;NULL
2023S001088;15/01/2023;10:20:00;AVDA. MANZANARES, 60;60;11;CARABANCHEL;Atropello a persona;Nublado;Bicicleta;Conductor;De 21 a 24 años;Mujer;14;Sin asistencia sanitaria;438674336;4472660565;N;NULL
2023S001088;15/01/2023;10:20:00;AVDA. MANZANARES, 60;60;11;CARABANCHEL;Atropello a persona;Nublado;Bicicleta;Peatón;Más de 74 años;Mujer;6;Asistencia sanitaria inmediata en centro de salud o mutua;438674336;4472660565;N;NULL
