Categoría: Todas las categorías

Región,Midjourney: (1/1/22 - 16/2/24),Stable Diffusion: (1/1/22 - 16/2/24),DALL E: (1/1/22 - 16/2/24)
California,49 %,30 %,21 %
Washington,41 %,34 %,25 %
Oregón,44 %,29 %,27 %
Distrito de Columbia,47 %,25 %,28 %
Utah,45 %,26 %,29 %
Colorado,48 %,24 %,28 %
Virginia,47 %,28 %,25 %
Nevada,47 %,26 %,27 %
Vermont,39 %,28 %,33 %
Hawái,50 %,26 %,24 %
Nueva Jersey,48 %,23 %,29 %
Massachusetts,40 %,27 %,33 %
Rhode Island,41 %,28 %,31 %
Nueva York,45 %,26 %,29 %
Idaho,41 %,28 %,31 %
Arizona,46 %,26 %,28 %
Florida,49 %,24 %,27 %
Georgia,49 %,25 %,26 %
Maryland,47 %,25 %,28 %
Texas,47 %,25 %,28 %
Maine,39 %,24 %,37 %
Illinois,42 %,25 %,33 %
Alaska,38 %,26 %,36 %
Nuevo Hampshire,36 %,31 %,33 %
Kansas,40 %,28 %,32 %
Tennessee,47 %,23 %,30 %
Pensilvania,40 %,24 %,36 %
Wyoming,46 %,25 %,29 %
Montana,42 %,25 %,33 %
Míchigan,42 %,26 %,32 %
Minnesota,42 %,27 %,31 %
Carolina del Norte,46 %,23 %,31 %
Connecticut,42 %,25 %,33 %
Oklahoma,41 %,27 %,32 %
Nuevo México,40 %,28 %,32 %
Misuri,41 %,27 %,32 %
Arkansas,41 %,26 %,33 %
Ohio,39 %,24 %,37 %
Nebraska,39 %,27 %,34 %
Delaware,43 %,24 %,33 %
Indiana,39 %,26 %,35 %
Kentucky,38 %,26 %,36 %
Iowa,39 %,26 %,35 %
Wisconsin,37 %,28 %,35 %
Carolina del Sur,43 %,25 %,32 %
Virginia Occidental,35 %,27 %,38 %
Luisiana,42 %,25 %,33 %
Dakota del Sur,36 %,29 %,35 %
Dakota del Norte,36 %,25 %,39 %
Alabama,41 %,26 %,33 %
Misisipi,44 %,27 %,29 %
